city,time,temperature
Torino,2025-06-07 12:00:00,25.6
Torino,2025-06-07 13:00:00,26.3
Torino,2025-06-07 14:00:00,26.9
Torino,2025-06-07 15:00:00,27.1
Torino,2025-06-07 16:00:00,26.8
Torino,2025-06-07 17:00:00,26.1
Torino,2025-06-07 18:00:00,25.2
Torino,2025-06-07 19:00:00,24.2
Torino,2025-06-07 20:00:00,23.1
Torino,2025-06-07 21:00:00,22.1
Torino,2025-06-07 22:00:00,21.4
Torino,2025-06-07 23:00:00,20.7
Torino,2025-06-08 00:00:00,20.2
Torino,2025-06-08 01:00:00,19.7
Torino,2025-06-08 02:00:00,19.2
Torino,2025-06-08 03:00:00,19.1
Torino,2025-06-08 04:00:00,19.3
Torino,2025-06-08 05:00:00,19.8
Torino,2025-06-08 06:00:00,20.5
Torino,2025-06-08 07:00:00,21.5
Torino,2025-06-08 08:00:00,22.7
Torino,2025-06-08 09:00:00,23.9
Torino,2025-06-08 10:00:00,25.1
Torino,2025-06-08 11:00:00,26.2
Torino,2025-06-08 12:00:00,27.2
Torino,2025-06-08 13:00:00,28.1
Torino,2025-06-08 14:00:00,28.8
Torino,2025-06-08 15:00:00,29.0
Torino,2025-06-08 16:00:00,28.3
Torino,2025-06-08 17:00:00,27.1
Torino,2025-06-08 18:00:00,25.5
Torino,2025-06-08 19:00:00,23.4
Torino,2025-06-08 20:00:00,20.9
Torino,2025-06-08 21:00:00,18.8
Torino,2025-06-08 22:00:00,17.3
Torino,2025-06-08 23:00:00,16.2
Roma,2025-06-02 00:00:00,19.0
Roma,2025-06-02 01:00:00,18.5
Roma,2025-06-02 02:00:00,18.1
Roma,2025-06-02 03:00:00,17.4
Roma,2025-06-02 04:00:00,17.1
Roma,2025-06-02 05:00:00,17.5
Roma,2025-06-02 06:00:00,19.2
Roma,2025-06-02 07:00:00,21.8
Roma,2025-06-02 08:00:00,23.9
Roma,2025-06-02 09:00:00,26.0
Roma,2025-06-02 10:00:00,27.3
Roma,2025-06-02 11:00:00,28.2
Roma,2025-06-02 12:00:00,28.6
Roma,2025-06-02 13:00:00,28.4
Roma,2025-06-02 14:00:00,27.9
Roma,2025-06-02 15:00:00,27.3
Roma,2025-06-02 16:00:00,26.3
Roma,2025-06-02 17:00:00,25.4
Roma,2025-06-02 18:00:00,24.2
Roma,2025-06-02 19:00:00,23.0
Roma,2025-06-02 20:00:00,22.0
Roma,2025-06-02 21:00:00,21.2
Roma,2025-06-02 22:00:00,20.8
Roma,2025-06-02 23:00:00,20.2
Roma,2025-06-03 00:00:00,19.6
Roma,2025-06-03 01:00:00,19.0
Roma,2025-06-03 02:00:00,18.5
Roma,2025-06-03 03:00:00,18.0
